ID,Function_outcome,Behavior_outcome,Data_outcome,F_outcome,UserRelated_outcome,predicted_pattern,pattern_frequency,predicted_positive_count,hierarchy_violation,label_errors
UC1.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC1.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC1.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC1.txt.flow_of_events.1,FP,TP,TN,TP,FP,11011,13,4,0,2
UC1.txt.flow_of_events.2,TN,FP,TN,TP,FN,01010,86,2,0,2
UC1.txt.flow_of_events.3,TP,TP,TP,TP,TN,11110,140,4,0,0
UC1.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC1.txt.postcondition,FN,TP,TN,TP,TP,01011,11,3,0,1
UC1.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC1.txt.quality_requirement,TN,TP,TN,TP,TN,01010,86,2,0,0
UC2.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC2.txt.description,TP,FN,TP,TP,TN,10110,5,3,0,1
UC2.txt.flow_of_events.0,TP,FP,TN,TP,FN,11010,139,3,0,2
UC2.txt.flow_of_events.1,TN,TP,TN,TP,TN,01010,86,2,0,0
UC2.txt.flow_of_events.2,TN,TN,FN,TP,TP,00011,28,2,0,1
UC2.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC2.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC2.txt.flow_of_events.5,TN,FP,TN,TP,FN,01010,86,2,0,2
UC2.txt.flow_of_events.6,TP,FN,TP,TP,TN,10110,5,3,0,1
UC2.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC2.txt.postcondition,FN,TP,TN,TP,TP,01011,11,3,0,1
UC2.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC2.txt.quality_requirement,TN,FN,TN,FN,TN,00000,7,0,0,2
UC3.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC3.txt.description,FN,TP,TP,TP,TN,01110,26,3,0,1
UC3.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC3.txt.flow_of_events.1,TP,TP,TP,TP,TN,11110,140,4,0,0
UC3.txt.flow_of_events.2,TN,TN,TN,TP,FN,00010,8,1,0,1
UC3.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC3.txt.flow_of_events.4,FP,TP,TN,TP,TN,11010,139,3,0,1
UC3.txt.flow_of_events.5,TN,FP,TN,TP,FN,01010,86,2,0,2
UC3.txt.flow_of_events.6,TP,TP,TP,TP,TN,11110,140,4,0,0
UC3.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC3.txt.postcondition,TN,TP,TP,TP,TP,01111,13,4,0,0
UC3.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC3.txt.quality_requirement,TN,TP,TN,TP,TN,01010,86,2,0,0
UC4.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC4.txt.flow_of_events.0,TP,FP,TP,TP,TN,11110,140,4,0,1
UC4.txt.flow_of_events.1,TP,TP,TN,TP,TN,11010,139,3,0,0
UC4.txt.flow_of_events.2,TN,TN,TN,TP,TP,00011,28,2,0,0
UC4.txt.flow_of_events.3,TP,TP,TN,TP,TN,11010,139,3,0,0
UC4.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC4.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC4.txt.quality_requirement,TN,FP,TN,FP,TN,01010,86,2,0,2
UC5.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC5.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC5.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC5.txt.flow_of_events.1,TP,TP,FN,TP,TN,11010,139,3,0,1
UC5.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC5.txt.postcondition,TN,TP,TP,TP,TN,01110,26,3,0,0
UC5.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC6.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC6.txt.description,TP,TP,TP,TP,TN,11110,140,4,0,0
UC6.txt.flow_of_events.0,TP,TP,TP,TP,TP,11111,14,5,0,0
UC6.txt.flow_of_events.1,FP,TP,TN,TP,TN,11010,139,3,0,1
UC6.txt.flow_of_events.2,FP,FP,TN,TP,FN,11010,139,3,0,3
UC6.txt.flow_of_events.3,TP,TP,TP,TP,TN,11110,140,4,0,0
UC6.txt.name,TP,TP,TP,TP,TN,11110,140,4,0,0
UC6.txt.postcondition,FN,TP,TN,TP,TP,01011,11,3,0,1
UC6.txt.precondition,TN,TN,TN,TN,TP,00001,51,1,0,0
UC7.txt.actor,TN,FP,TN,FP,FN,01010,86,2,0,3
UC7.txt.description,TP,FN,FN,TP,TN,10010,4,2,0,2
UC7.txt.flow_of_events.0,TP,FP,TN,TP,TN,11010,139,3,0,1
UC7.txt.flow_of_events.1,TP,TP,FN,TP,TN,11010,139,3,0,1
UC7.txt.flow_of_events.2,FP,FP,TN,TP,FN,11010,139,3,0,3
UC7.txt.flow_of_events.3,FP,TP,TN,TP,TN,11010,139,3,0,1
UC7.txt.flow_of_events.4,TN,FP,TN,TP,FN,01010,86,2,0,2
